airport_name,alt,lon,Delay
Jesup-Wayne County Airport,107,-81.8825,92303
Jimmy Carter Regional,468,-84.1133,92303
John F Kennedy Intl,13,-73.778925,92303
John H. Batten Airport,674,-87.8152,92303
John Murtha Johnstown-Cambria County Airport,2284,-78.833889,92303
John Wayne Arpt Orange Co,56,-117.868222,92303
Johnson County Airport,1096,-94.4415,92303
Jonesboro Muni,262,-90.646417,92303
Joplin Rgnl,981,-94.498269,92303
Juneau Intl,21,-134.576278,92303
KBWD,1387,-98.9565,92303
Kahului,54,-156.430458,92303
Kake Airport,172,-133.910278,92303
Kake Seaplane Base,0,-133.945556,92303
Kalamazoo,874,-85.552058,92303
Kalaupapa Airport,24,-156.974,92303
Kalskag Airport,55,-160.341,92303
Kaltag Airport,187,-158.741,92303
Kaneohe Bay Mcaf,24,-157.768,92303
Kansas City Intl,1026,-94.713905,92303
Kapalua,256,-156.673031,92303
Karuluk Airport,137,-154.450278,92303
Kasigluk Airport,40,-162.524444,92303
Kearney Municipal Airport,2131,-99.0068,92303
Keesler Afb,33,-88.924433,92303
Kelso Longview,20,-122.898389,92303
Kenai Muni,99,-151.245,92303
Kendall Tamiami Executive,8,-80.432777,92303
Kenmore Air Harbor Inc Seaplane Base,14,-122.259,92303
Kenmore Air Harbor Seaplane Base,14,-122.339,92303
Kenosha Regional Airport,742,-87.9278056,92303
Kent State Airport,1134,-81.4151111,92303
Keokuk Municipal Airport,671,-91.4285011,92303
Kerrville Municipal Airport,1617,-99.0854722,92303
Ketchikan Intl,88,-131.71375,92303
Ketchikan harbor Seaplane Base,0,-131.663333,92303
Key Field,297,-88.751868,92303
Key Largo,8,-80.274775,92303
Key West Intl,3,-81.759556,92303
Key West Nas,6,-81.688889,92303
King Cove Airport,155,-162.266,92303
King Salmon,68,-156.649278,92303
Kingman Airport,3449,-113.938,92303
Kingsville Nas,50,-97.809723,92303
Kinston Regional Jetport,94,-77.608889,92303
Kipnuk Airport,11,-164.030556,92303
Kirksville Regional Airport,966,-92.5449,92303
Kirtland Air Force Base,5355,-106.609194,92303
Kissimmee Gateway Airport,82,-81.437083,92303
Kitoi Bay Seaplane Base,0,-152.370556,92303
Kivalina Airport,13,-164.563,92303
Klamath Falls Airport,4095,-121.733,92303
Klawock Airport,80,-133.076111,92303
Klawock Seaplane Base,0,-133.101693,92303
Knox County Regional Airport,56,-69.0992303,92303
Knoxville Downtown Island Airport,833,-83.8736667,92303
Kobuk Airport,137,-156.897222,92303
Kodiak,78,-152.493856,92303
Koliganek Airport,269,-157.259444,92303
Kona Intl At Keahole,47,-156.045631,92303
Kongiganak Airport,30,-162.881111,92303
Kotlik Airport,15,-163.532778,92303
Koyuk Alfred Adams Airport,154,-161.154167,92303
Koyukuk Airport,149,-157.730556,92303
Kulik Lake Airport,1000,-155.108089,92303
Kwethluk Airport,30,-161.443611,92303
Kwigillingok Airport,18,-163.168611,92303
LM Clayton Airport,1986,-105.575,92303
La Crosse Municipal,654,-91.256711,92303
La Guardia,22,-73.872608,92303
La Junta Muni,4238,-103.509431,92303
LaGrange-Callaway Airport,694,-85.0726111,92303
Lackland Afb Kelly Fld Annex,691,-98.581108,92303
Ladd Aaf,454,-147.614444,92303
Lafayette Rgnl,43,-91.987611,92303
Lake Charles Rgnl,15,-93.223335,92303
Lake City Municipal Airport,201,-82.576944,92303
Lake Cumberland Regional Airport,927,-84.615556,92303
Lake Havasu City Airport,783,-114.3582778,92303
Lake Hood Seaplane Base,71,-149.9653918,92303
Lake Placid Airport,1747,-73.961944,92303
Lake Tahoe Airport,8544,-119.995278,92303
Lake Wales Municipal Airport,127,-81.6203889,92303
Lakefront,7,-90.02825,92303
Lakehurst Naes,103,-74.353333,92303
Lakeland,1629,-89.730833,92303
Lakeland Linder Regional Airport,142,-82.0185556,92303
Lamar Muni,3706,-102.6885,92303
Lambert St Louis Intl,618,-90.370028,92303
Lanai,1308,-156.951419,92303
Lancaster Airport,403,-76.2961,92303
Langley Afb,11,-76.360547,92303
Lansdowne Airport,1044,-80.6195833,92303
Lansing Municipal,620,-87.5295278,92303
Laramie Regional Airport,7284,-105.675,92303
Laredo Intl,508,-99.461556,92303
Larsen Bay Airport,87,-153.976667,92303
Las Cruces Intl,4456,-106.921972,92303
Las Vegas Muni,6877,-105.142389,92303
Laughlin Afb,1082,-100.777975,92303
Laughlin-Bullhead Intl,695,-114.56,92303
Laurence G Hanscom Fld,133,-71.289031,92303
Lawrence J Timmerman Airport,745,-88.0344167,92303
Lawrence Municipal,833,-95.2175,92303
Lawrence Municipal Airport,148,-71.1234167,92303
Lawson Aaf,232,-84.991283,92303
Lawton-Fort Sill Regional Airport,1110,-98.4166367,92303
Lea Co Rgnl,3661,-103.217028,92303
Lebanon Municipal Airport,603,-72.3042,92303
Lebanon State,344,-122.5577,92303
Lee Airport,34,-76.568333,92303
Lee C Fine Memorial Airport,869,-92.5494875,92303
Lee Gilmer Memorial Airport,1276,-83.8302233,92303
Leesburg Executive Airport,389,-77.558,92303
Lehigh Valley Intl,393,-75.440806,92303
Lemhi County Airport,4043,-113.881389,92303
Lemoore Nas,234,-119.95208,92303
Levelock Airport,39,-156.858611,92303
Lewis University Airport,680,-88.083003,92303
Lewiston Maine,288,-70.2835075,92303
Lewiston Nez Perce Co,1442,-117.015389,92303
Lewistown Municipal Airport,4170,-109.467,92303
Liberal Muni,2885,-100.95986,92303
Lihue,153,-159.338958,92303
Lima Allen County Airport,975,-84.0270781,92303
Lincoln,1219,-96.75925,92303
Lincoln Regional Airport Karl Harder Field,121,-121.3513333,92303
Linden Airport,23,-74.2445942,92303
Little Rock Afb,311,-92.149722,92303
Livermore Municipal,400,-121.49133,92303
Livingood Airport,696,-148.541111,92303
Logan-Cache,4457,-111.852,92303
Lompoc Airport,88,-120.4675,92303
London-Corbin Airport-MaGee Field,1212,-84.0773889,92303
Lone Star Executive,245,-95.414467,92303
Long Beach,60,-118.151611,92303
Long Island Mac Arthur,99,-73.100222,92303
Long Lake,1629,-74.42044,92303
Lopez Island Airport,209,-122.938,92303
Lorain County Regional Airport,793,-82.1776389,92303
Los Alamos Airport,7171,-106.2694153,92303
Los Angeles Intl,126,-118.408075,92303
Lost Nation Municipal Airport,626,-81.38975,92303
Louis Armstrong New Orleans Intl,4,-90.258028,92303
Louisville International Airport,501,-85.7364989,92303
Lovell Fld,683,-85.203808,92303
Lowell City Airport,681,-85.3439058,92303
Lubbock Preston Smith Intl,3282,-101.822778,92303
Luce County Airport,869,-85.457298,92303
Luke Afb,1085,-112.38306,92303
Lynchburg Regional Preston Glenn Field,938,-79.2004,92303
Lynden Airport,106,-122.4581183,92303
Macdill Afb,14,-82.521214,92303
Mackinac Island Airport,740,-84.637344,92303
Macomb Municipal Airport,707,-90.6523889,92303
Madera Municipal Airport,255,-120.1124444,92303
Madison GA Municipal Airport,694,-83.4604444,92303
Magic Valley Regional Airport,4151,-114.487733,92303
Mahlon Sweet Fld,374,-123.211972,92303
Majors,535,-96.065333,92303
Malad City,4503,-112.289,92303
Mammoth Yosemite Airport,7128,-118.837772,92303
Manassas,192,-77.515556,92303
Manchester Regional Airport,266,-71.435667,92303
Manhattan Reigonal,1057,-96.670833,92303
Manistee County-Blacker Airport,621,-86.246944,92303
Manley Hot Springs Airport,270,-150.644167,92303
Manokotak Airport,51,-159.05,92303
Mansfield Lahm Regional,1297,-82.5166389,92303
Mansfield Municipal,122,-71.1967714,92303
Marana Regional,2031,-111.218388,92303
March Arb,1535,-117.259453,92303
Marco Islands,5,-81.6725278,92303
Marina Muni,134,-121.762347,92303
MariposaYosemite,2454,-120.0222,92303
Mark Anton Airport,718,-84.9310833,92303
Marshall Aaf,1063,-96.764453,92303
Marshall Don Hunter Sr. Airport,103,-162.026111,92303
Marshfield Municipal Airport,1278,-90.1893267,92303
Marshfield Municipal Airport,9,-70.6721389,92303
Martha\\'s Vineyard,67,-70.615278,92303
Martin Campbell Field Airport,1789,-84.3468333,92303
Martin State,22,-76.4137778,92303
Mason City Municipal,1243,-93.4067,92303
Massena Intl Richards Fld,215,-74.845547,92303
Maxwell Afb,171,-86.365778,92303
Mbs Intl,668,-84.079647,92303
Mc Alester Rgnl,770,-95.783463,92303
Mc Allen Miller Intl,107,-98.238611,92303
Mc Carran Intl,2141,-115.15225,92303
Mc Chord Afb,322,-122.476475,92303
Mc Clellan Afld,75,-121.400611,92303
Mc Connell Afb,1371,-97.268192,92303
Mc Ghee Tyson,981,-83.994028,92303
Mc Guire Afb,131,-74.591667,92303
Mc Kellar Sipes Rgnl,434,-88.915611,92303
Mc Minnville Muni,163,-123.135944,92303
McCall Municipal Airport,5021,-116.101389,92303
McCarthy Airport,1531,-142.90307372,92303
McClellan-Palomar Airport,328,-117.1648,92303
McCook Regional Airport,2583,-100.592222,92303
McDuffie County Airport,501,-82.5169509,92303
McGrath Airport,338,-155.606,92303
McKinley National Park Airport,1720,-148.91129,92303
McKinnon Airport,19,-81.3910556,92303
McMinn Co,874,-84.56177,92303
McNary Field,214,-123.003,92303
Meadows Fld,507,-119.05677,92303
Meigs Field,585,-87.609722,92303
Mekoryuk Airport,48,-166.271,92303
Melbourne Intl,33,-80.645258,92303
Memorial Field,540,-93.0962,92303
Memphis Intl,341,-89.976667,92303
Menominee Marinette Twin Co,625,-87.638443,92303
Merced Municipal Airport,156,-120.513889,92303
Mercer County Airport,2857,-81.2077,92303
Meridian Nas,317,-88.555557,92303
Merle K Mudhole Smith,48,-145.477556,92303
Merrill Fld,137,-149.844447,92303
Merritt Island Airport,6,-80.6854722,92303
Mesa Falcon Field,1394,-111.727996826172,92303
Metlakatla Seaplane Base,0,-131.578056,92303
Metropolitan Oakland Intl,9,-122.220722,92303
Mexia - Limestone County Airport,544,-96.5144594,92303
Miami Intl,8,-80.290556,92303
Miami Seaplane Base,0,-80.1703,92303
Miami University Airport,1040,-84.7843814,92303
Michigan City Municipal Airport,500,-86.8211,92303
Mid Delta Regional Airport,131,-90.9856,92303
Mid-Ohio Valley Regional Airport,858,-81.4392031,92303
Middle Georgia Rgnl,354,-83.649211,92303
Midland Intl,2871,-102.201914,92303
Millington Rgnl Jetport,320,-89.870278,92303
Millinocket Muni,408,-68.685561,92303
Millville Muni,85,-75.072222,92303
Minchumina Airport,678,-152.301944,92303
Mineral Wells,974,-98.060175,92303
Minneapolis St Paul Intl,841,-93.221767,92303
Minot Afb,1668,-101.357661,92303
Minot Intl,1716,-101.280333,92303
Minto Airport,460,-149.37,92303
Miramar Mcas,478,-117.14175,92303
Mission Field Airport,4660,-110.4483056,92303
Missoula Intl,3205,-114.090556,92303
Mobile Downtown,26,-88.068092,92303
Mobile Rgnl,219,-88.242814,92303
Modesto City Co Harry Sham,97,-120.954422,92303
Moffett Federal Afld,32,-122.049139,92303
Mojave,2791,-118.151856,92303
Molokai,454,-157.096256,92303
Monroe County Airport,846,-86.6166805,92303
Monroe Reqional Airport,679,-80.62001,92303
Monroe Rgnl,79,-92.037689,92303
Monterey Peninsula,257,-121.842944,92303
Montgomery County Airpark,0,-77.09576,92303
Montgomery Field,17,117.759,92303
Montgomery Regional Airport,221,-86.3939722,92303
Montrose Regional Airport,5759,-107.894242,92303
Moody Afb,233,-83.193,92303
Moore County Airport,455,-79.3887958,92303
Morgantown Airport,600,-75.8704892,92303
Morgantown Muni Walter L Bill Hart Fld,1248,-79.916314,92303
Morristown Municipal Airport,187,-74.4148747,92303
Morrisville Stowe State Airport,732,-72.614,92303
Moser Bay Seaplane Base,0,-154.145833,92303
Moton Field Municipal Airport,264,-85.6800278,92303
Moultrie Municipal Airport,294,-83.80325,92303
Mount Pleasant Regional-Faison Field,12,-79.4697,92303
Mountain Home Afb,2996,-115.872431,92303
Mountain Home Municipal Airport,3167,-115.7305671,92303
Mountain Village Airport,337,-163.682,92303
Muir Aaf,489,-76.569411,92303
Municipal Airport,125,-79.0595556,92303
Municipal Airport,1292,-90.8964742,92303
Municipal Airport,529,-81.6850278,92303
Municipal Airport,780,-88.3046825,92303
Municipal Airport,90,-82.155833,92303
Muskegon County Airport,628,-86.2382,92303
Myrtle Beach Intl,25,-78.928333,92303
NAS Alameda,10,-122.3186,92303
NW Arkansas Regional,1287,-94.3068111,92303
Nantucket Mem,48,-70.060181,92303
Napa County Airport,35,-122.2806944,92303
Naples Muni,8,-81.775294,92303
Nashville Intl,599,-86.678194,92303
Natrona Co Intl,5347,-106.464417,92303
Naval Air Station,653,-87.8225,92303
Nellis Afb,1870,-115.034253,92303
Nelson Lagoon,14,-161.160278,92303
New Bedford Regional Airport,80,-70.9569,92303
New Carrollton Rail Station,39,-76.8719,92303
New Castle,79,-75.606528,92303
New Century AirCenter Airport,1087,-94.8903056,92303
New Haven Rail Station,7,-72.925992,92303
New Orleans Nas Jrb,3,-90.035,92303
New Stuyahok Airport,302,-157.328,92303
Newark Liberty Intl,18,-74.168667,92303
Newark Penn Station,0,-74.164167,92303
Newport Municipal Airport,160,-124.057917,92303
Newport News Williamsburg Intl,43,-76.492989,92303
Newport State,172,-71.282222,92303
Newtok Airport,25,-164.641111,92303
Newton City-County Airport,1533,-97.2752278,92303
Niagara Falls Intl,589,-78.946194,92303
Nightmute Airport,4,-164.700833,92303
Nikolai Airport,427,-154.383889,92303
Nikolski Air Station,77,-168.848889,92303
Noatak Airport,88,-162.975,92303
Nogales Intl,3955,-110.84789,92303
Nome,37,-165.445247,92303
Nondalton Airport,262,-154.851667,92303
Norfolk Intl,26,-76.201222,92303
Norfolk Ns,15,-76.289289,92303
Norman Y Mineta San Jose Intl,62,-121.929022,92303
North Central State,441,-71.491381,92303
North Island Nas,26,-117.21531,92303
North Las Vegas Airport,2205,-115.1944444,92303
North Perry,8,-80.240722,92303
North Platte Regional Airport Lee Bird Field,2776,-100.684,92303
North Whale Seaplane Base,0,-133.121667,92303
Northeast Alabama Regional Airport,569,-86.0890834,92303
Northeast Philadelphia,121,-75.010586,92303
Northern Aroostook Regional Airport,988,-68.312778,92303
Northern Maine Rgnl At Presque Isle,534,-68.044797,92303
Northway,1716,-141.929136,92303
Northwest Alabama Regional Airport,550,-87.6102,92303
Norwood Memorial Airport,49,-71.1729444,92303
Nuiqsut Airport,38,-151.005556,92303
Nulato Airport,399,-158.074167,92303
Nunapitchuk Airport,12,-162.439167,92303
Oakdale Airport,237,-120.8001944,92303
Oakland Co. Intl,980,-83.35,92303
Ocean Isle Beach Airport,32,-78.4366722,92303
Ocean Ridge Airport,940,-123.5306389,92303
Ocean Shores Municipal,15,-124.0854,92303
Oceana Nas,22,-76.033542,92303
Oceano County Airport,14,-120.62236111,92303
Offutt Afb,1052,-95.912511,92303
Ogdensburg Intl,297,-75.4655,92303
Ohio State University Airport,905,-83.073,92303
Old Harbor Airport,55,-153.269722,92303
Olga Bay Seaplane Base,0,-154.229722,92303
Olive Branch Muni,350,-89.783333,92303
Olympia Regional Airpor,209,-122.9025447,92303
Oneonta Municipal Airport,1763,-75.064444,92303
Ontario Intl,944,-117.601194,92303
Opa Locka,8,-80.278389,92303
Orange County Airport,364,-74.2646444,92303
Orcas Island Airport,31,-122.910556,92303
Orlando,340,-81.57,92303
Orlando Intl,96,-81.308994,92303
Orlando Sanford Intl,55,-81.237489,92303
Ormond Beach municipal Airport,28,-81.06497,92303
Oscoda Wurtsmith,634,-83.394053,92303
Otis Angb,131,-70.521417,92303
Ouzinkie Airport,55,-152.500511,92303
Owensboro Daviess County Airport,406,-87.1668,92303
Oxnard - Ventura County,15,-119.207222,92303
Ozona Muni,2381,-101.202972,92303
Packwood,1057,-121.4067,92303
Page Fld,17,-81.86325,92303
Page Municipal Airport,4316,-111.4483,92303
Pahokee Airport,18,-80.692,92303
Palacios Muni,14,-96.250958,92303
Palm Beach Co Park,14,-80.085056,92303
Palm Beach Intl,19,-80.095589,92303
Palm Springs Intl,477,-116.506694,92303
Palmdale Rgnl Usaf Plt 42,2543,-118.08456,92303
Palmer Muni,242,-149.088711,92303
Palo Alto Airport of Santa Clara County,7,-122.1150556,92303
Panama City Bay Co Intl,20,-85.682806,92303
Panama City-NW Florida Bea.,69,-85.7973,92303
Pangborn Field,1249,-120.206,92303
Pappy Boyington,2320,-116.8195833,92303
Patrick Afb,8,-80.610125,92303
Patuxent River Nas,39,-76.411781,92303
Pease International Tradeport,100,-70.8233,92303
Pecos Municipal Airport,2613,-103.5107222,92303
Pedro Bay Airport,45,-154.1325,92303
Pelican Seaplane Base,0,-136.236389,92303
Pellston Regional Airport of Emmet County Airport,720,-84.7967,92303
Pembina Muni,795,-97.240833,92303
Penn Station,35,-73.9935,92303
Penn Station,66,-76.615556,92303
Pensacola Nas,28,-87.318647,92303
Pensacola Rgnl,121,-87.186611,92303
Peoria Regional,660,-89.693258,92303
Perry-Foley Airport,44,-83.5805833,92303
Perryville Airport,29,-159.160833,92303
Petersburg James A. Johnson,105,-132.945278,92303
Philadelphia 30th St Station,0,-75.182,92303
Philadelphia Intl,36,-75.241139,92303
Philip Billard Muni,881,-95.622482,92303
Phillips Aaf,57,-76.168808,92303
Phoenix Regional Airport,1300,-111.920997619629,92303
Phoenix Sky Harbor Intl,1135,-112.011583,92303
Phoenix-Mesa Gateway,1382,-111.655,92303
Pickens County Airport,1535,-84.4572222,92303
Piedmont Triad,925,-79.937306,92303
Pierre Regional Airport,1742,-100.286,92303
Pike County Airport - Hatcher Field,1473,-82.5663889,92303
Pilot Point Airport,57,-157.571944,92303
Pilot Station Airport,305,-162.899444,92303
Pinal Airpark,1893,-111.325278,92303
Pitt-Greenville Airport,27,-77.385278,92303
Pittsburgh Intl,1204,-80.232872,92303
Pittsburgh-Monroeville Airport,1187,-79.7749167,92303
Plantation Airpark,188,-81.5971111,92303
Platinum,15,-161.819664,92303
Plattsburgh Intl,234,-73.468139,92303
Plum Island Airport,11,-70.8394444,92303
Plymouth Municipal Airport,148,-70.7287778,92303
Plymouth Municipal Airport,800,-86.3002574,92303
Pocatello Regional Airport,4452,-112.596,92303
Point Baker Seaplane Base,0,-133.6225,92303
Point Hope Airport,12,-166.799,92303
Point Lay Lrrs,25,-163.005342,92303
Point Mugu Nas,13,-119.12094,92303
Point Roberts Airpark,10,-123.0788889,92303
Polk Aaf,330,-93.191667,92303
Polk County Airport - Cornelius Moore Field,974,-85.1464722,92303
Pompano Beach Airpark,19,-80.1110556,92303
Ponca City Rgnl,1007,-97.099781,92303
Pope Field,217,-79.014472,92303
Poplar Bluff Municipal Airport,331,-90.3248611,92303
Port Alsworth Airport,253,-154.306586,92303
Port Angeles Cgas,13,-123.414075,92303
Port Bailey Seaplane Base,0,-153.040556,92303
Port Bucyrus-Crawford County Airport,1003,-82.9748056,92303
Port Clarence Coast Guard Station,10,-166.859,92303
Port Columbus Intl,815,-82.891889,92303
Port Heiden Airport,95,-158.633,92303
Port Lions Airport,52,-152.846111,92303
Port Moller Airport,20,-160.560833,92303
Port O\\'Connor Airfield,10,-96.442859,92303
Port Oceanic Airport,142,-147.8194444,92303
Port Protection Seaplane Base,0,-133.61,92303
Port Williams Seaplane Base,0,-152.582222,92303
Portage Municipal Airport,825,-89.4828607,92303
Porter County Municipal Airport,770,-87.0070833,92303
Portland Hillsboro,204,-122.949825,92303
Portland Intl,30,-122.5975,92303
Portland Intl Jetport,77,-70.309281,92303
Portland Troutdale,39,-122.401253,92303
Princeton Muni,979,-93.608217,92303
Prospect Creek Airport,1095,-150.643611,92303
Prosser,705,-119.4773,92303
Provincetown Muni,9,-70.22139,92303
Provo Municipal Airport,4497,-111.72222222,92303
Pueblo Memorial,4726,-104.496572,92303
Pullman-Moscow Rgnl,2556,-117.109583,92303
Purude University Airport,606,-86.9368889,92303
Put-in-Bay Airport,595,-82.497,92303
Putnam County Airport,842,-86.8138056,92303
Quad City Intl,590,-90.507539,92303
Quantico Mcaf,11,-77.305333,92303
Quincy Municipal Airport,225,-84.557425,92303
Quincy Regional Baldwin Field,769,-91.1946,92303
Quinhagak Airport,42,-161.845278,92303
Quonset State Airport,18,-71.4121389,92303
Raleigh County Memorial Airport,2504,-81.1242,92303
Raleigh Durham Intl,435,-78.787472,92303
Ralph Wien Mem,11,-162.59855,92303
Ramona Airport,1395,-116.91525,92303
Rampart Airport,302,-150.140833,92303
Rancho Murieta,141,-121.102778,92303
Randall Airport,523,-74.3915611,92303
Randolph Afb,762,-98.2789,92303
Rapid City Regional Airport,3204,-103.057222,92303
Rawlins Municipal Airport-Harvey Field,6813,-107.19994,92303
Reading Regional Carl A Spaatz Field,344,-75.9652,92303
Red Devil Airport,174,-157.350278,92303
Redding Muni,504,-122.293389,92303
Redlands Municipal Airport,1574,-117.146388,92303
Redstone Aaf,685,-86.684781,92303
Regional - Hendricks AAF,63,-81.342222,92303
Regional Airport,582,-88.175556,92303
Regional Airport,968,-80.9538958,92303
Renner Fld,3656,-101.698992,92303
Reno Tahoe Intl,4415,-119.768108,92303
Renton,32,-122.21575,92303
Reynolds Field,1001,-84.460556,92303
Rhinelander Oneida County Airport,1624,-89.4675,92303
Richard B Russell Airport,664,-85.1586667,92303
Richard Lloyd Jones Jr Airport,638,-95.9846389,92303
Richfield Minicipal Airport,5301,-112.0989444,92303
Richland Airport,742,-90.2982819,92303
Richmond County Airport,358,-79.7596111,92303
Richmond Intl,167,-77.319667,92303
Richmond Municipal Airport,1140,-84.8427175,92303
Rick Husband Amarillo Intl,3607,-101.705931,92303
Rickenbacker Intl,744,-82.927822,92303
Ridgeland Airport,79,-80.99175,92303
Riverside Muni,818,-117.445103,92303
Riverton Regional,5525,-108.459722,92303
Roanoke Regional,1175,-79.975417,92303
Robert Curtis Memorial Airport,55,-161.022222,92303
Robert Gray Aaf,1015,-97.828917,92303
Roberts Fld,3077,-121.149964,92303
Robertson Field,202,-72.8646944,92303
Robins Afb,294,-83.59185,92303
Robinson Aaf,587,-92.300153,92303
Roche Harbor Seaplane Base,0,-123.159722,92303
Rochester,1317,-92.500014,92303
Rock Airport,1063,-79.8261189,92303
Rock Hill York Co Bryant Airport,667,-81.0572,92303
Rock Springs Sweetwater County Airport,6760,-109.065,92303
Rocky Mount Wilson Regional Airport,159,-77.8919,92303
Rocky Mountain Metropolitan Airport,5670,-105.11722222,92303
Rogue Valley Intl Medford,1335,-122.8735,92303
Ronald Reagan Washington Natl,15,-77.037722,92303
Rosario Seaplane Base,0,-122.868056,92303
Roscommon Co,1150,-84.671112,92303
Rosecrans Mem,826,-94.909706,92303
Roswell Intl Air Center,3671,-104.530556,92303
Ruby Airport,653,-155.47,92303
Russian Mission Airport,51,-161.319444,92303
Rutland State Airport,787,-72.9496,92303
Sabetha Municipal,1330,-95.4677,92303
Sacramento Executive,24,-121.49347,92303
Sacramento Intl,27,-121.590778,92303
Sacramento Mather,96,-121.297592,92303
Safford Regional Airport,3179,-109.6350833,92303
Saint Cloud Regional Airport,1031,-94.059889,92303
Salina Municipal Airport,1288,-97.6522,92303
Salisbury Ocean City Wicomico Rgnl,52,-75.510289,92303
Salt Lake City Intl,4227,-111.977772,92303
Saluda County,539,-81.4768,92303
San Angelo Rgnl Mathis Fld,1919,-100.496306,92303
San Antonio Intl,809,-98.469778,92303
San Bernardino International Airport,1159,-117.2348722,92303
San Carlos Airport,5,-122.249444,92303
San Diego Intl,17,-117.189667,92303
San Diego Old Town Transit Center,0,-117.1995,92303
San Francisco Intl,13,-122.374889,92303
San Juan - Uganik Seaplane Base,0,-153.320556,92303
San Luis County Regional Airport,212,-120.642,92303
San Luis Valley Regional Airport,7539,-105.866667,92303
Sand Point Airport,21,-160.523,92303
Sanford Regional,244,-70.708,92303
Santa Barbara Muni,10,-119.840372,92303
Santa Fe Muni,6348,-106.089422,92303
Santa Maria Pub Cpt G Allan Hancock Airport,261,-120.457,92303
Santa Monica Municipal Airport,177,-118.4513056,92303
Sarasota Bradenton Intl,30,-82.554389,92303
Saratoga County Airport,433,-73.861638,92303
Savannah Hilton Head Intl,51,-81.202139,92303
Savoonga Airport,53,-170.493,92303
Sawyer International Airport,1221,-87.395278,92303
Scammon Bay Airport,14,-165.571389,92303
Scappoose Industrial Airpark,58,-122.861833,92303
Schaumburg Regional,801,-88.1012428,92303
Scholes Intl At Galveston,6,-94.860406,92303
Scott Afb Midamerica,459,-89.835183,92303
Scottsdale Airport,1519,-111.9105278,92303
Seal Bay Seaplane Base,0,-152.5,92303
Seaplane Base,140,-81.7628056,92303
Seattle Tacoma Intl,433,-122.309306,92303
Sebastian Municipal,21,-80.4955833,92303
Sedona,4830,-111.788472,92303
Selawik Airport,17,-159.985833,92303
Selfield Airport,131,-86.9522,92303
Selfridge Angb,580,-82.8355,92303
Seward Airport,22,-149.4188122,92303
Seymour Johnson Afb,110,-77.960589,92303
Shageluk Airport,79,-159.569167,92303
Shaktoolik Airport,24,-161.223889,92303
Shaw Afb,242,-80.470564,92303
Sheboygan County Memorial Airport,755,-87.851402,92303
Shelby County Airport,550,-88.845556,92303
Shelby County Airport,586,-86.7832222,92303
Sheldon Point Airport,12,-164.847778,92303
Shenandoah Valley Regional Airport,1201,-78.896389,92303
Sheppard Afb Wichita Falls Muni,1019,-98.491894,92303
Sheridan County Airport,4021,-106.98,92303
Sherman Aaf,772,-94.914686,92303
Shishmaref Airport,12,-166.089,92303
Shively Field Airport,7012,-106.8235264,92303
Shoestring Aviation Airfield,1000,-76.6471914,92303
Show Low Regional Airport,6415,-110.005556,92303
Shreveport Rgnl,258,-93.8256,92303
Shungnak Airport,197,-157.1625,92303
Sidney Muni Airport,4313,-102.985,92303
Sidney-Richland Municipal Airport,1984,-104.1925,92303
Sierra Blanca Regional Airport,6814,-105.534751,92303
Sierra Vista Muni Libby Aaf,4719,-110.344389,92303
Sikeston Memorial Municipal,315,-89.56175,92303
Silver Springs Airport,4269,-119.2511944,92303
Sioux Falls,1429,-96.741914,92303
Sioux Gateway Col Bud Day Fld,1098,-96.384367,92303
Sitka Rocky Gutierrez,21,-135.361611,92303
Skagway Airport,44,-135.316,92303
Skyhaven Airport,321,-70.9292778,92303
Sleetmute Airport,190,-157.165833,92303
Sloulin Fld Intl,1982,-103.642347,92303
Smith Fld,834,-85.152778,92303
Smith Reynolds,969,-80.222,92303
Snohomish Co,606,-122.281564,92303
Soldotna Airport,113,-151.0382389,92303
Somerset County Airport,2275,-79.0149951,92303
South Arkansas Rgnl At Goodwin Fld,277,-92.813278,92303
South Bend Rgnl,799,-86.31725,92303
South Haven Area Regional Airport,666,-86.2556389,92303
South Jersey Regional Airport,53,-74.84575,92303
South Lakeland Airport,110,-82.0439739,92303
South Naknek Airport,162,-157.0025,92303
Southeast Iowa Regional Airport,698,-91.1255,92303
Southeast Texas Rgnl,15,-94.020694,92303
Southern California Logistics,2885,-117.382997,92303
Southern Wisconsin Regional Airport,808,-89.0415556,92303
Southwest Florida Intl,30,-81.755167,92303
Southwest Georgia Regional Airport,197,-84.1945,92303
Southwest Michigan Regional Airport,643,-86.4285,92303
Southwest Oregon Regional Airport,17,-124.246,92303
Space Coast Reg'l Airport,34,-80.7992278,92303
Sparrevohn Lrrs,1583,-155.574228,92303
Spencer Muni,1339,-95.202805,92303
Spirit Of St Louis,463,-90.652044,92303
Spitfire Aerodrome,40,-75.3977211,92303
Spokane Intl,2376,-117.533833,92303
Spring Hill Airport,1729,-75.4158972,92303
Springfield Amtrak Station,65,-72.593054,92303
Springfield Branson Natl,1268,-93.388639,92303
Springfield-Beckly Municipal Airport,1051,-83.8401667,92303
St Clair Co Intl,650,-82.528862,92303
St George,125,-169.661611,92303
St George Muni,2941,-113.593056,92303
St Lucie County International Airport,23,-80.372638,92303
St Marys Airport,311,-163.302,92303
St Paul Island,63,-170.220444,92303
St Petersburg Clearwater Intl,10,-82.687389,92303
St. Augustine Airport,10,-81.3397222,184606
St. George Airport,125,-169.663611,92303
