,id,artist_name,song_name,cleaned_lyrics,popularity
183,2aG8eoXZrJw3Bjx5bCHdVv,Duncan Laurence,Sleeping On The Phone,call me up do not care about the hour tell me what you do to keep your mind off me are you lost because am too far from california we will find our way am not letting go do not think am letting go if you get caught up in your head will not let you go through it alone let us talk until you are sleeping on the phone laying on yellow fields of sunny flowers everyone but you and are miles away could be there all day run my fingers through your hair am not letting go do not think am letting go if you get caught up in your head will not let you go through it alone let us talk until you are sleeping on the phone do not say it enough can not say it enough do not say it how much am thinking of you do not say it enough can not say it enough do not say it how much am thinking how am not letting go do not think am letting go if you get caught up in your head will not let you go through it alone let us talk until you are sleeping on the phone,39
184,2AGUFka8kBWCM47h5uTlDb,Travis Scott,lose,my lambo gon skrrt my crib are not got service got shit to lose that shit make me nervous got shit to lose got to keep my cool got to watch the dupes can not let them come through got shit to lose hold up wait more to gain more at stake got shit to do had to move with the crew away from you steady with the crew steady with the crew and you never liked it and you never liked them steady with the crew steady with the crew and you never liked it and you never liked them my lambo gon skrrt my crib are not got service got shit to lose that shit make me nervous got shit to lose got to keep my cool got to watch the dupes can not let them come through got shit to lose hold up wait more to gain more at stake got shit to do had to move with the crew away from you steady with the crew steady with the crew steady with the crew steady with the crew and you never liked it and you never liked them and never liked it and never liked them steady with the crew steady with the crew steady with the crew steady with the crew and you never liked it and you never liked them and never liked it and never liked them you know what we grew on we go back like futons and coupons we too bad we too wild we too young shake some my niggas gon shake some fall through and break something broad day and take something backwards have been livin backwards on my mattress orgies on my mattress flashes dreamin having flashes dashin hopin do not crash it my lambo gon skrrt my crib are not got service got shit to lose that shit make me nervous got shit to lose got to keep my cool got to watch the dukes can not let them come through got shit to lose hold up wait more to gain more at stake got shit to do had to move with the crew away from you steady with the crew steady with the crew steady with the crew steady with the crew and you never liked it and you never liked them and never liked it and never liked them steady with the crew steady with the crew steady with the crew steady with the crew and you never liked it and you never liked them and never liked it and never liked them steady with the crew steady with the crew steady with the crew steady with the crew and you never liked it and you never liked them and never liked it and never liked them steady with the crew steady with the crew steady with the crew steady with the crew and you never liked it and you never liked them and never liked it and never like them,60
185,2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,here is to the ones that we got cheers to the wish you were here but you are not because the drinks bring back all the memories of everything we have been through toast to the ones here today toast to the ones that we lost on the way because the drinks bring back all the memories and the memories bring back memories bring back you there is time that remember when did not know no pain when believed in forever and everything would stay the same now my heart feel like december when somebody say your name because can not reach out to call you but know will one day yeah everybody hurts sometimes everybody hurts someday ayyayy but everything gon be alright go and raise glass and say ayy here is to the ones that we got cheers to the wish you were here but you are not because the drinks bring back all the memories of everything we have been through toast to the ones here today toast to the ones that we lost on the way because the drinks bring back all the memories and the memories bring back memories bring back you doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo memories bring back memories bring back you there is time that remember when never felt so lost when felt all of the hatred was too powerful to stop ooh yeah now my heart feel like an ember and it is lighting up the dark will carry these torches for ya that you know will never drop yeah everybody hurts sometimes everybody hurts someday ayyayy but everything gon be alright go and raise glass and say ayy here is to the ones that we got ohoh cheers to the wish you were here but you are not because the drinks bring back all the memories of everything we have been through no no toast to the ones here today ayy toast to the ones that we lost on the way because the drinks bring back all the memories ayy and the memories bring back memories bring back you doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo memories bring back memories bring back you doodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoodoo doodoodoo ooh yeah memories bring back memories bring back you yeah yeah yeah yeah yeah yeah yeah yeah no no memories bring back memories bring back you,36
186,2BcnxwxBuar5wjCaLqm5N3,The Weeknd,Until I Bleed Out,can not move am so paralyzed am so paralyzed can not explain why am terrified am so terrified well do not want to touch the sky no more just want to feel the ground when am coming down it is been way too long and do not even want to get high no more just want it out of my life out of my life out want to cut you outta my dreams until am bleeding out until am bleeding want to cut you outta my mind until am bleeding out until am bleeding want to cut you outta my dreams woah am bleeding out girl am bleeding want to cut you outta my mind because am bleeding out oh am bleeding girl am bleeding keep telling myself do not need it keep telling myself do not need it anymore keep telling myself do not need it anymore need it anymore,66
187,2BlNyI35idBaI6BN6WGZeQ,Queen,Love Of My Life - Remastered 2011,love of my life you have hurt me you have broken my heart and now you leave me love of my life can not you see bring it back bring it back do not take it away from me because you do not know what it means to me love of my life do not leave me you have taken my love all my love and now desert me love of my life can not you see please bring it back back bring it back bring it back do not take it away from me because you do not know what it means to me you will remember when this is blown over and everythings all by the way when grow older will be there at your side to remind you how still love you still love you back hurry back please bring it back home to me because you do not know what it means to me love of my life love of my life ooh ooh,53
188,2bT1PH7Cw3J9p3t7nlXCdh,Shawn Mendes,If I Can't Have You,can not write one song that is not about you can not drink without thinkin about you is it too late to tell you that everything means nothing if can not have you am in toronto and got this view but might as well be in hotel room yeah it does not matter because am so consumed spending all my nights reading texts from you oh am good at keeping my distance know that you are the feeling am missing you know that hate to admit it but everything means nothing if can not have you can not write one song that is not about you can not drink without thinkin about you is it too late to tell you that everything means nothing if can not have you can not write one song that is not about you can not drink without thinkin about you is it too late to tell you that everything means nothing if can not have you am so sorry that my timings off but can not move on if we are still going to talk is it wrong for me to not want half want all of you all the strings attached oh am good at keeping my distance know that you are the feeling am missing you know that hate to admit it but everything means nothing if can not have you can not write one song that is not about you can not drink without thinkin about you is it too late to tell you that everything means nothing if can not have you can not write one song that is not about you can not drink without thinking about you is it too late to tell you that everything means nothing if can not have you am trying to move on forget you but hold on everything means nothing everything means nothing babe am trying to move on forget you but hold on everything means nothing if can not have you no can not write one song that is not about you can not drink without thinkin about you is it too late to tell you that everything means nothing if can not have you can not have you can not write one song that is not about you can not drink without thinking about you is it too late to tell you that everything means nothing if can not have you,73
189,2c2csx4OTYtbkzvbSTXlGY,Travis Scott,guidance,and found out that you are bad for me found out that you had someone every time get this drunk hope wake up in another place roll up roll up roll up behind it yeah want to try it yeah grip on your waist bust up the place tantalizin straight up you are from the islands you stay wildin guide guide you like pilot have not been around this year yeah yeah like to see you change your gears it is lit to motion that is more faster babe am grippin like am tryna catch up babe pump up follow me rumble follow me yeah roll up follow me pop two follow me straight up do you like that follow me nicest follow me backwards follow me practice follow me yeah it is lit hop up it is time for switch yeah lightskin girls like their hair man it come with twist badmon badmon yeah you know it come with risk risk are not bouncer but the way you bouncin might just frisk ya yeah yeah yeah roll up behind it yeah want to try it yeah grip up your waist bust up the place tantalizin straight up you need some guidance you stay wildin am about to guide you like pilot have not been around this year yeah yeah like to see you change your gears it is lit to motion that is more faster bopbopbopbopbopbopbop babe am grippin like am tryna grrah catch up babe and found out that you are bad for me found out that you had someone every time get this drunk hope wake up in another place roll up roll up yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh oh you silent you quiet what happened to the loud talkin all that noise you done are you finished or are you done how you been with your workout visits got my scription got my attention you know my intentions you know nobody know our business no gods our witness yeah lit like my wrist is only like it when you are at your littest it is lit roll up behind it yeah want to try it yeah grip up your waist bust up the place tantalizin straight up you need some guidance you stay wildin am about to guide you like pilot have not been around this year yeah yeah like to see you change your gears it is lit to motion that is more faster babe am grippin like am tryna catch up babe bopbopbopbopbopbopbop grrrrr roll up roll up,57
190,2C6WXnmZ66tHhHlnvwePiK,Post Malone,Die For Me (feat. Future & Halsey),oh yeah oh yeah oh yeah yeah you would die for me said you would die said you would die but you lied you lied to me said you would take bullet told me you would die for me had really bad feeling you would been lying to me we were on the low but you were getting high with me when it is past that is different side see said you would die for me you would die for me you would die for me but you lied to me you lied to me you lied to me said you would die for me you would die for me you would die for me but you lied to me you lied to me you lied to me it was love at first sight felt like you were chosen oh but that blood in your veins yeah know it is frozen it is so cold got no patience no more no been waitin too long yeah you hid that shit away and was the last one to know bitch ayy ooh heard you comin in was lyin there awake awake did not know that it was you got the gun right out the safe damn remember when you got my ass arrested wow at least when was in jail got some rest in yeah ooh surrender ayy time to forget ya ayy am too tired to forgive ya ayy it is too hard on my liver ayy and you know ayy its all ayy over now all your friends ayy you know ayy they sold you out said you would take bullet told me you would die for me die for me had really bad feeling you would been lying to me lying to me we were on the low but you were getting high with me high with me when it is past that is different side see side see said you would die for me you would die for me you would die for me die die die but you lied to me you lied to me you lied to me lie lie lie said you would die for me you would die for me you would die for me die die die but you lied to me you lied to me you lied to me yeah you lied yeah it was vip happened to be one of my best nights yeah am came from out the club it was daylight daylight got bad girl was treating her too nice was treating her too nice caught you being vulnerable that are not what need ayy that are not what need you just sold your soul girl quit crying sold your soul from your passport it looks like you lying know you cold you broken down by your past do not deny it you know know your ex called you was vulnerable you flying nah flying was not on the best of terms girl was trying was trying on ya did everything to reach out to you was reaching out said you never had me caught up in no drama no drama done ran into my karma done ran said you would take bullet told me you would die for me that you would die had really bad feeling you would been lying to me you would been lying we been on the low but you been getting high with me you was high when it is past that is different side see different side said you would die for me you would die for me you would die for me said you would die you said you would die but you lied to me you lied to me you lied to me know you are lying said you would die for me you would die for me you would die for me oh yeah oh yeah oh yeah but you lied to me you lied to me you lied to me settle down will spell it out it is simple enough came around figured out should follow my gut do not play anymore went through your phone and called the girls in your dms and took all them home and know it is been while since the last time you heard from me grew into savage and that is why they gave this verse to me turns out it shows because they turn out at shows sold fifteen million copies of breakup note brought some strangers in our beds and now you lost your right to privacy spilling all our secrets when you thought they would probably die with me know you fucking love it on the low and you do not have to say am crazy because know nothings changed though said you would take bullet told me you would die for me you would die you would die you would die had really bad feeling you would been lying to me but you lied you lied you lied we were on the low but you were getting high with me you would die you would die you would die when it is past that is different side see but you lied you lied you lied said you would die for me you would die for me you would die for me you would die you would die you would die but you lied to me you lied to me you lied to me but you lied you lied you lied said you would die for me you would die for me you would die for me you would die you would die you would die but you lied to me you lied to me you lied to me but you lied you lied you lied,73
193,2cvOfKHOHgwQlLiuLKP2xR,Post Malone,Myself,wish could have been there myself it is what it is it is how live all the places have been wish could have been there myself made so much spent so much and can not get enough wish could have been there myself wish could have been there myself your second cousin lives in orlando orlando and yeah just finished show just finished show people shoving shots down their damn throat some selling yes but am going to say no going to say no it is what it is it is how live all the places have been have been wish could have been there myself wish could have been there myself made so much spent so much and can not get enough can not get enough wish could have been there myself all of this american dreamin everybodys sick of believin oh let us not give fuck until giving fuck has no meaning oh am sick of believing all of this american dreaming oh let us not give fuck until giving fuck has no meaning oh it is what it is it is how live all the places have been wish could have been there myself wish could have been there myself made so much spent so much and can not get enough no can not get enough wish could have been there myself wish could have been there myself no can not get enough oh oh oh oh,67
194,2d3zTjEWyOzKDPOLjDSRlR,Shawn Mendes,Mutual,want you close to me want you close want you closer but when you are here with me it is hard to tell just what you are after you say you want all of me today but tomorrows not the same my feelings never change what do you want from me what do you want uh need to know if this is mutual before go and get way too involved want you bad can you reciprocate no do not want to have to leave but half of yous not enough for me this inconsistency what does it mean you got me questioning the way you act and take it back do mean anything just tell me honestly you say you want all of me today but tomorrows not the same my feelings never change what do you want from me what do you want uh need to know if this is mutual before go and get way too involved want you bad can you reciprocate no do not want to have to leave but half of yous not enough for me are you playin me is this game when you show up late say love at am then tell me you can not stay girl yeah what do you want from me baby oh need to know if this is mutual before go and get way too involved want you bad baby can you reciprocate no do not want to have to leave but half of yous not enough for me,43
195,2dfHh7ECGxfNqZTQno09Vk,Ed Sheeran,Hearts Don't Break Around Here,she is the sweetest thing that know should see the way she holds me when the lights go low shakes my soul like pothole every time took my heart upon one way trip guess she went wandering off with it and unlike most women know this one will bring it back whole daisies daisies perched upon your forehead oh my baby lately know that every night will kiss you you will say in my ear oh we are in love are not we hands in your hair fingers and thumbs baby feel safe when you are holding me near love the way that you conquer your fear you know hearts do not break around here oh yeah yeah yeah yeahyeah yeahyeah she is the river flow in orwell and tin wind chimes used for doorbells fields and trees and her smell fill my lungs spend my summertime beside her and the rest of the year the same she is the flint that sparks the lighter and the fuel that will hold the flame oh roses roses laid upon your bed spread oh my all this all this know but every night will kiss you you will say in my ear oh we are in love are not we hands in your hair fingers and thumbs baby feel safe when you are holding me near love the way that you conquer your fear you know hearts do not break around here oh yeah yeah yeah well found love hidden inside the arms of the woman know she is the lighthouse in the night that will safely guide me home and am not scared of passing over or the thought of growing old because from now until go every night kiss you you will say in my ear oh we are in love are not we hands in your hair fingers and thumbs baby feel safe when you are holding me near love the way that you conquer your fear you know hearts do not break around here oh yeah yeah every night kiss you you will say in my ear oh we are in love are not we hands in your hair fingers and thumbs baby feel safe when you are holding me near love the way that you conquer your fear you know hearts do not break around here yeah yeah yeah you know hearts do not break around here oh yeah yeah yeah,69
196,2dwGN1gEiuivawys47nZ4d,SAINt JHN,Time For Demons,it is just the way that they made me son behave like an animal am savage be going beast mode doing damage am on demon time am never average am going up until am mad mad mad rich am savage mode am not average am on demon time just in my cabbage got to get it though are not nothing average fuckin burn it all up until am mad mad mad rich been overthinkin lots of things please do not try to quote me every word that say have been busy focused on my rings not lot of sleep in my oversized bed like who am why would change lit for the moment darling never pipe down turn up on them even in the rain highlights baby it is wild life now until lie down passport picture tell story where am from nah are not never go back skin too smooth teeth too straight real hood nigga never knew that tryna move smooth want to move right save little bit because it do not last going in circles in this life you gon realize are not no slow dance roses nigga got his roses while he livin am gon give this porsche to my children neck full of water so he drippin michael never met his scottie pippen son behave like an animal am savage be going beast mode doing damage am on demon time am never average am going up until am mad mad mad rich am savage mode am not average am on demon time just in my cabbage got to get it though are not nothing average fuckin burn it all up until am mad mad mad rich told lee he would be millionaire,44
197,2eKH2typXktOBTgWrOHnni,Shawn Mendes,Queen,it is hard to believe you do not remember me at all am hard to recognize you say nice to meet you every time yeah and made you laugh still remember what said guess should not be surprised you say nice to meet you every time know we got lot of mutual friends do not say my name do not come up in your conversations yeah who crowned you queen of you think you are too cool making beautiful look ugly the way you put yourself above me you treat me like got nothing on you making beautiful look ugly you are not the ruler of no country who made you the queen should not stress about the fact you are not impressed are you playing hard to get or maybe you are not interested do not understand why everybody thinks you are sweet because see the opposite no you are not so innocent see the way you are lookin through me right now to see if there is somebody cooler around yeah who crowned you queen of you think you are too cool making beautiful look ugly the way you put yourself above me you treat me like got nothing on you making beautiful look ugly you are not the ruler of no country who made you the queen no no no no no who made you the queen who made you the queen who crowned you queen of you think you are too cool making beautiful look ugly the way you put yourself above me yeah nah yeah you treat me like got nothing on you making beautiful look ugly making beautiful look ugly you are not the ruler of no country you are not the ruler of no country babe who made you the queen who made you the queen yeah you think you are too cool no who made you the queen who made you the queen,41
198,2EsMiZMmamMQIwTz9BUGYA,Trevor Daniel,Things We Do For Love,fell for the euphoria blinded by the light until saw the other side what is it really like and now am fallin even more in love baby your voice got addicted overnight had to pay the price you put my life on edge and left my heart for dead would do it all again for the both of us all the things we do for love oohooh ooh ooh ooh oh all the things we do for love oohooh ooh ooh ooh let you in my head sometimes it do not make sense all the things we do for love oohooh ooh ooh ooh oh all the things we do for remember drivin down the pch white mercedes always on the scenic view me and you baby bash and fergie always on replay miss all the stupid shit that we would do me and you we got too comfortable way too dysfunctional we had to go on our separate ways gave you everything short of wedding ring there is not thing would change you put my life on edge and left my heart for dead would do it all again for the both of us all the things we do for love oohooh ooh ooh ooh oh all the things we do for love oohooh ooh ooh ooh let you in my head sometimes it do not make sense all the things we do for love oohooh ooh ooh ooh oh all the things we do for oohooh ooh ooh ooh oohooh ooh ooh ooh,0
199,2F5nK70URbVjwao6lRwX0P,Dua Lipa,Boys Will Be Boys,it is second nature to walk home before the sun goes down and put your keys between your knuckles when there is boys around is not it funny how we laugh it off to hide our fear when there is nothing funny here ah sick intuition that they taught us so we will not freak out we hide our figures doing anything to shut their mouths we smile away to ease the tension so it do not go south but there is nothing funny now ah when will we stop saying things because they are all listening no the kids are not alright oh and they do what they see because it is all on tv oh the kids are not alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women am sure if there is something that can not find the words to say know that there will be man around to save the day and that was sarcasm in case you needed it mansplained should have stuck to ballet ah when will we stop saying things because they are all listening no the kids are not alright oh and they do what they see because it is all on tv oh the kids are not alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women if you are offended by this song you are clearly doing something wrong if you are offended by this song then you are probably saying boys will be boys will be boys will be boys will be boys but girls will be women when will we stop saying things because they are all listening no the kids are not alright oh and they do what they see because it is all on tv oh the kids are not alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women,56
200,2F6NcP1yYaY1YVzGdDx5SS,Trevor Daniel,All Of That,if you want the moon want the ocean the stars in the sky then give me your love will give you all of that all of that all of that all of that if you want the moon want the ocean the stars in the sky then give me your love will give you all of that all of that all of that all of that baby there are not no denyin that you and we been vibin ayy your touch struck me like lightning yeah you are my sweet aphrodite yeah ayy if go down in flames oh pray you will be there to put the fire out your voice that all came from my pain you are the only one lie awake and think about if you want the moon want the ocean the stars in the sky then give me your love will give you all of that all of that all of that all of that if you want the moon want the ocean the stars in the sky then give me your love will give you all of that all of that all of that all of that baby there are not no denyin that you and we been vibin ayy your touch struck me like lightning yeah you are my sweet aphrodite yeah ayy if you want the moon want the ocean the stars in the sky then give me your love will give you all of that all of that all of that all of that if you want the moon want the ocean the stars in the sky then give me your love will give you all of that all of that all of that all of that,0
201,2FO4bI9MqGN7NQZIr3ROHs,Cast,Trust Me - Dialogue,thank you very much now is not she great there is friend of mine who uh came long way to be here and she wrote great song and would just like her to sing it think it is pretty fucking good how are you you made it am good hi how are you it was so good was lucky to see you everything all right the trip was fine yeah did an arrangement that was kind of not so great but uh maybe you can just take ayeah yeah come on here we go no can not do that am sorry jack please this is not fine jack do not go for that all you got to do is trust me,50
202,2FVpOsjT1iquZ3SpCjZ9Ne,BTS,Telepathy,among the days that feel the same feel happiest when meet you among the different everyday lives you are the most special person to me everythings fine right you are doing well right feel like im well floating on air these days thanks to having so much time with this much time im writing song like this this is song for you yeah song yeah song let us go to the blue sea that blue sea where we used to play together leave your pointless worries aside for moment let us enjoy together and remember together the small island in the middle of the blue sea we may be far apart now but our hearts are still the same even if you are not by my side yeah even if am not by your side yeah you know we are together among the days that feel the same feel happiest when meet you among the different everyday lives you are the most special person to me wake up in the morning like wild grass check you like mirror my eyes are full of you instead of sleep my bruised knees feel heavy again stroll the streets thinking about our road allowed us by this star oh can be your bibilly hills like you did the same to me baby too fast is little dangerous too slow is little boring lets try matching our speeds without going too fast or going to slow this is pretty long and fun roller coaster although we are far apart now our hearts are still the same even if you are not by my side yeah even if am not by your side yeah you know we are together among the days that feel the same feel happiest when meet you among the different everyday lives you are the most special person to me,63
203,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,white shirt now red my bloody nose sleepin you are on your tippy toes creepin around like no one knows think you are so criminal bruises on both my knees for you do not say thank you or please do what want when am wanting to my soul so cynical so you are tough guy like it really rough guy just can not get enough guy chest always so puffed guy am that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type am the bad guy duh am the bad guy like it when you take control even if you know that you do not own me will let you play the role will be your animal my mommy likes to sing along with me but she will not sing this song if she reads all the lyrics she will pity the men know so you are tough guy like it really rough guy just can not get enough guy chest always so puffed guy am that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type am the bad guy duh am the bad guy duh am only good at bein bad bad like when you get mad guess am pretty glad that you are alone you said she is scared of me mean do not see what she sees but maybe it is because am wearing your cologne am bad guy am am bad guy bad guy bad guy am bad,86
204,2fyLITHvcvuvb4Y4oxk1ab,Trevor Daniel,OMG,and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read shakira said hips do not lie watching your silhouette move in the light do not got type but am feeling the vibe you are the type of girl want by my side wish could feel how am feeling tonight for the rest of my life something between us baby like it can tell by the way that you eye me ii do not like to wait so baby come on over and do not have time to waste anticipation going and for you babe am crazy plead insanity and honestly we do not got to speak your body language read and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read oh you got me asking god please can not she be my baby before leave oh you got me asking god please can not she be my baby before leave and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read and am like oh my god oh my god shorty so fine how you do that look so bad without even tryin and for you babe am crazy plead insanity and honestly we do not got to speak your body language read,1
205,2gKSQqtba0acZuweAtFfRd,James Arthur,Coming Home for Summer,we started in october drowned our sins in cold november rain thoughts all through december prayed for snow to cover up the pain been so long under winters night waiting for the sun watching the horizon everybodys coming home for summer but still feels thousand miles away what feeling taste the freedom there with every bite finally we are coming home we shadowboxed the enemy swing until we extradite our fears their backed into corner ring the bell we she would our blood and tears like hibernating sunrays hoping for the sun watching the horizon everybodys coming home for summer but still feels thousand miles away what feeling taste the freedom there with every bite finally we are coming home oh we suffered in silence through storms and through violence we have stayed our way the waves have subsided the clouds have divided found reason to survive found the will to stay alive that will be the last thing that we do heading for summer back home for summer everybodys coming home for summer everybody but still feels thousand miles away what feeling what feeling taste the freedom freedom there with every bite finally we are coming home oh we are coming home oh am coming home,42
206,2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,fell by the wayside like everyone else hate you hate you hate you but was just kidding myself our every moment start to replace because now that they are gone all hear are the words that needed to say when you hurt under the surface like troubled water running cold well time can heal but this will not so before you go was there something could have said to make your heart beat better if only would have known you had storm to weather so before you go was there something could have said to make it all stop hurting it kills me how your mind can make you feel so worthless so before you go was never the right time whenever you called went little by little by little until there was nothing at all our every moment start to replay but all can think about is seeing that look on your face when you hurt under the surface like troubled water running cold well time can heal but this will not so before you go was there something could have said to make your heart beat better if only would have known you had storm to weather so before you go was there something could have said to make it all stop hurting it kills me how your mind can make you feel so worthless so before you go would we be better off by now if would have let my walls come down maybe guess we will never know you know you know before you go was there something could have said to make your heart beat better if only would have known you had storm to weather so before you go was there something could have said to make it all stop hurting it kills me how your mind can make you feel so worthless so before you go,86
207,2H3wWrnO758y0fPH7Ilerg,XXXTENTACION,Depression & Obsession,na na na na na na na na na na na na na na na na na na na na na depression and obsession do not mix well na na na na na na na na na na na am poisoned and my body do not feel well na na na na na na na na na na na ate her inside and out feel my stomach turnin make out hill where we met we let our lips do all the talkin and now am hooked and na na na na na na na na na na na depression and obsession do not mix well well hollywood motels hell think am just obsessed with you depression and obsession do not mix well na na na na na na na na na na na hollywood motels hell think am just obsessed with you na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na,73
208,2Hd7uGbl8PX0IxyX59VFOg,Giveon,The Beach,giveon do not know if it was fireworks or gunshots but the birds is in the air she just let me know where they show no fear it are not safe round here but she still going to hold on it are not safe round here but she does not run from right here lust guns drugs violence lust guns drugs violence ooh oh will not let you go go go oohoohooh will not let you go go go oohoohooh go ohoh ooh ooh your mama warned you bout to tell you the truth she are not lyin to you baby you said you are not scared oh girl love how you care will put your love on pedestal pedestal whatever you want am about to get it for you get it for you hop in the whip we can go skrrt show you the city that made me like this ooh ooh ooh made me like this ooh ooh ooh made me who am say ooh ooh ooh th street ooh ooh ooh made me who am see your mom told you about this side it can get ugly am just boy from the east side do you love me your mom told you about this side it can get ugly am just boy from the east side oh no do not know if it was fireworks or gunshots but the birds is in the air oh will not let you gogogo so do not come over here will not let you oh will not let you go hit me up and let me know you are safe and be safe why always got to call you million times fore you call me back son oh oh anyway call me back love you bye will not let you go baby yeah oh will not let you go go go will not let you go go go go oh ooh pray and live your life pray and live your life pray and live your life pray and live your life pray and live your life pray and live your life pray and live your life pray and live your life pray and live your life,67
209,2HTBwbtFouEbIYiMV28S0n,SAINt JHN,Switching Sides,murda on the beat so it is not nice ayy they switching sides them niggas are not ridin them niggas are not loyal they did not love you they know it are not tomorrow they really actin like time really are not borrowed know the sorrows they switching sides them niggas was not ridin with you they are not loyal they did not love you they actin like they know you the things you go through and they was never for you who do blame balancin the pain valentino frames heart full of rage hard to crack smile when the scars still remain toast in the air for the ones who are not changed dope dealer drained porsche in the rain nights on the train squad screamin gang member watchin menace really in the screen mama workin double can still feel the strain do not keep main hoes be betrayin lost to the fame cross in the flame daps and the smiles fake it do not feel the same come from the gutter so am strapped and am prayin they switching sides them niggas are not ridin them niggas are not loyal they did not love you they know it are not tomorrow they really actin like time really are not borrowed know the sorrows they switching sides them niggas was not ridin with you they are not loyal they did not love you they actin like they know you the things you go through and they was never for you who do blame look who became rocafella chain try not to be ashamed of the friendships that you lose when you are at your lowest time you will confuse pray for better news chasin avenues you been grounded enough you comin up you from the bottom long nights just to spite them do not put the top on better things slander names really tryna block them all of that because they are insecure to be forgotten am comin down on here it is gettin cold down here we gettin snow down here can not slow down here it is gettin low down here they lettin blood out here clickclack unload reload load out here done with the lies am done with the lies am seein right through in they eyes yeah yeah tell them goodbyes am yellin goodbyes am seein right now in their vibe they hate two of my brothers we used to be close and now we are not speakin so much these days clear to me nobodys perfect not on the surface hate to be one day late corner niggas switching for the linemen private school niggas flyin private they do not even stop when am arrivin can still feel the hate when close my eyelids they switching sides them niggas are not ridin them niggas are not loyal they did not love you they not here tomorrow they really actin like time really are not borrowed know the sorrows they switching sides them niggas was not ridin with you they are not loyal they did not love you they actin like they know you the things you go through and they was never for you,45
210,2I9t0e3gLAKOi5syoHxP46,Kali Uchis,fue mejor,ooh real real real real ooh real these worldly possessions do not need none of them you do not deserve me no no someone could come love me if somebody know me you do not know me ghost ghost take little sip take little puff do not want to think do not want to talk no is it enough is it too much oh am not this am not done and left in the jeep at twelve the backseat where met you if go do not loose sight of me there are things that are tattooed without ink it was better to fly so would not fall ooh yeah no love it does not hurt me to lose you no im no longer there but never forget there are things that are tattooed without ink it no longer weighs me down it doesnt weigh me life treats me well treats me well you are with another doing things that in my bed taught you that taught you for nothing if you then call me later you tell me that you miss everything im your favourite the one you need but im not here for that to be repeated the price of your love paid paid when lost you found myself am sorry my path changed changed but for the better for the better connected with our bodies and our soul oh connected and am never letting go oh baby once got ahold of you that is when knew would be there for you whenever you need yeah but sometimes you feel you are better off without me without me ooh sometimes you feel you are better off it was better to fly so would not fall no love it does not hurt me to lose you im no longer there but never forget there are things that are tattooed without ink and left in the jeep at twelve the backseat where met you if go do not loose sight of me there are things that are tattooed without ink ooh ooh ooh,67
212,2Ie9eahtnfKDIswYy6WgkX,James Arthur,If Only,still remember my name but forgotten my royal mistakes if only could go back in time when you were friend of mine if only we were just little less tired and true you were being you and was being too human but who was fooling ohh if only if only could trust you would rest your head and turn the light on if only could wish your kiss was not falling star if only was yours the shoulder that you would want to to cry on if only you could pull me safely through these prison bars ehh if only if only if only if only if only took your crown of thorns laid down to be reborn if only was not flesh and bone could rise up from being stoned if only you could see through someone like me tryna be free maybe just little less lonely ohh was so lonely if only if only could trust you would rest your head and turn the light on if only if only if only could wish your kiss was not falling star if only if only if only was yours the shoulder that you would want to to cry on if only if only if only you could pull me safely through these prison bars if only ehh if only it is out with the old will be new and do not worry about the drink and drugs am through if only believed that was true we would be living all the dreams in house with view if only if only you knew how the voices of demons could drown out the truth now my one place of freedom is sleeping with you if only if only you knew if only could trust you would rest your head and turn the light on if only could wish your kiss was not falling star if only if only was your shoulder to cry on if only you could pull me safely through these prison bars ehh if only if only if only if only,45
